                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52624,                0.45055,                0.96504,                0.83228,                0.88745,                0.90756,                0.79781,                0.51949,                0.48027,                 0.9175,              0.0011337,              0.0011337,              0.0011337
                     37,                0.51088,                0.42191,                0.95338,                0.87064,                0.91172,                0.92799,                0.82954,                0.49559,                0.43411,                 0.8959,               0.001109,               0.001109,               0.001109
                     38,                0.50347,                 0.4183,                0.94687,                 0.8599,                0.91089,                0.92028,                 0.8112,                0.51037,                0.43722,                0.90359,              0.0010842,              0.0010842,              0.0010842
                     39,                0.50789,                0.42696,                0.94846,                0.86411,                 0.9057,                0.92715,                0.82583,                0.50565,                0.44488,                0.90448,              0.0010595,              0.0010595,              0.0010595
                     40,                 0.5072,                0.41926,                0.95398,                0.86083,                0.88103,                0.91828,                 0.8157,                0.50118,                0.54355,                0.90703,              0.0010347,              0.0010347,              0.0010347
                     41,                0.51016,                0.41458,                0.95257,                0.87966,                0.88048,                0.91829,                0.80673,                 0.5112,                0.45491,                0.90291,                0.00101,                0.00101,                0.00101
                     42,                0.50656,                0.41309,                0.94968,                0.85671,                0.86349,                0.91438,                0.81337,                0.51165,                0.47028,                0.90398,             0.00098525,             0.00098525,             0.00098525
                     43,                0.50775,                0.41543,                0.95516,                0.85084,                0.91475,                0.92758,                0.83726,                0.45533,                0.42358,                0.87863,              0.0009605,              0.0009605,              0.0009605
                     44,                0.50688,                0.41211,                0.95095,                0.86243,                0.87849,                0.91585,                0.82464,                0.46861,                0.46052,                0.88897,             0.00093575,             0.00093575,             0.00093575
                     45,                0.50481,                0.41187,                0.95052,                0.85888,                 0.8972,                0.92284,                0.82657,                 0.4877,                0.44837,                0.89607,               0.000911,               0.000911,               0.000911
                     46,                0.50187,                0.40411,                0.94892,                0.86253,                0.89044,                0.93122,                0.83339,                0.47927,                0.43595,                0.89382,             0.00088625,             0.00088625,             0.00088625
                     47,                0.48838,                 0.3921,                0.94456,                0.85485,                0.90336,                0.92439,                0.81885,                0.49076,                0.44247,                0.89654,              0.0008615,              0.0008615,              0.0008615
                     48,                0.49699,                0.40155,                0.94595,                0.88148,                0.90374,                0.92727,                0.83379,                0.46695,                 0.4164,                0.89244,             0.00083675,             0.00083675,             0.00083675
                     49,                0.48602,                0.39401,                0.94078,                0.87924,                 0.8992,                0.92549,                0.83422,                0.46921,                0.43393,                0.89054,               0.000812,               0.000812,               0.000812
                     50,                0.49846,                0.40248,                0.94804,                0.83446,                0.89343,                0.91043,                0.81072,                0.49637,                0.47157,                 0.9066,             0.00078725,             0.00078725,             0.00078725
                     51,                0.47746,                0.38094,                0.93662,                 0.8838,                0.87948,                 0.9265,                0.83626,                0.46632,                0.42861,                0.88863,              0.0007625,              0.0007625,              0.0007625
                     52,                0.48345,                0.38436,                 0.9403,                0.89175,                0.87792,                0.93102,                0.83584,                0.47656,                0.42125,                0.88058,             0.00073775,             0.00073775,             0.00073775
                     53,                0.47668,                0.37886,                0.92827,                0.87419,                 0.8859,                0.92894,                 0.8332,                0.47677,                0.43023,                 0.8897,               0.000713,               0.000713,               0.000713
                     54,                0.48161,                0.37806,                0.93758,                0.87008,                0.89741,                0.92932,                0.83389,                0.47802,                0.42147,                0.89383,             0.00068825,             0.00068825,             0.00068825
                     55,                0.47408,                 0.3669,                0.93186,                0.90751,                0.87953,                0.93273,                0.84304,                0.46291,                0.39681,                0.87861,              0.0006635,              0.0006635,              0.0006635
                     56,                0.48197,                0.36245,                0.93571,                0.85765,                0.92131,                 0.9309,                0.83882,                0.47824,                0.41184,                0.88728,             0.00063875,             0.00063875,             0.00063875
                     57,                0.47604,                 0.3647,                0.93387,                0.84994,                0.91959,                0.92367,                0.83786,                0.45764,                0.41278,                0.88617,               0.000614,               0.000614,               0.000614
                     58,                0.47154,                0.36422,                0.93292,                0.82959,                0.91156,                0.92104,                0.83327,                0.47065,                0.43668,                0.88878,             0.00058925,             0.00058925,             0.00058925
                     59,                0.46855,                0.35824,                0.93254,                 0.8717,                0.90003,                0.93327,                0.84131,                0.47349,                0.40586,                0.88563,              0.0005645,              0.0005645,              0.0005645
                     60,                0.46051,                0.34732,                0.92371,                0.89157,                0.86753,                0.92161,                0.83024,                 0.4628,                 0.4646,                0.87732,             0.00053975,             0.00053975,             0.00053975
                     61,                0.46135,                0.35317,                0.92557,                 0.8797,                 0.8745,                0.92303,                0.83058,                0.47059,                 0.4231,                0.87901,               0.000515,               0.000515,               0.000515
