                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.51406,                0.44579,                0.98309,                0.85409,                0.86454,                0.88508,                 0.7846,                0.50372,                0.53779,                0.93826,              0.0012756,              0.0012756,              0.0012756
                     37,                0.50745,                0.43439,                0.98169,                0.87068,                0.85165,                0.89485,                0.78584,                0.54785,                0.51202,                0.95003,              0.0012408,              0.0012408,              0.0012408
                     38,                0.49505,                0.42031,                0.96756,                0.85593,                0.85956,                0.88976,                0.77948,                0.53996,                0.52213,                0.94292,              0.0012058,              0.0012058,              0.0012058
                     39,                0.48802,                0.41665,                0.96595,                0.86068,                0.86756,                0.90204,                0.80128,                0.51521,                0.50611,                0.92395,              0.0011706,              0.0011706,              0.0011706
                     40,                0.49007,                0.41588,                0.96543,                 0.8571,                0.86623,                0.88433,                0.77968,                0.52502,                0.53314,                0.92735,              0.0011353,              0.0011353,              0.0011353
                     41,                0.48877,                0.40899,                0.96498,                0.86154,                0.86764,                0.90073,                0.79857,                0.51386,                0.49944,                 0.9256,                 0.0011,                 0.0011,                 0.0011
                     42,                0.47627,                0.39936,                 0.9594,                0.84213,                 0.8979,                0.88928,                0.79348,                0.49456,                 0.5093,                0.91396,              0.0010647,              0.0010647,              0.0010647
                     43,                0.48354,                0.40526,                0.96304,                0.85566,                0.82072,                0.88561,                   0.78,                 0.5379,                0.56478,                 0.9367,              0.0010294,              0.0010294,              0.0010294
                     44,                0.47311,                0.40663,                0.96267,                0.83903,                0.88777,                0.90177,                0.79078,                0.54979,                0.51051,                0.94184,             0.00099422,             0.00099422,             0.00099422
                     45,                 0.4655,                0.39514,                0.95199,                 0.8638,                0.87849,                0.90813,                0.80084,                0.52497,                 0.4893,                0.93924,             0.00095921,             0.00095921,             0.00095921
                     46,                0.45451,                 0.3835,                0.94848,                0.85116,                0.88147,                0.90465,                0.80182,                0.51908,                0.49987,                 0.9372,             0.00092442,             0.00092442,             0.00092442
                     47,                0.46272,                 0.3896,                0.95609,                0.86844,                 0.8679,                0.89826,                0.80289,                0.50876,                 0.4828,                0.92499,              0.0008899,              0.0008899,              0.0008899
                     48,                0.45289,                0.37787,                0.94493,                0.85509,                0.86653,                0.89169,                0.78542,                0.53388,                 0.5348,                0.94465,              0.0008557,              0.0008557,              0.0008557
                     49,                0.45809,                0.39006,                0.95411,                0.85582,                0.88087,                  0.889,                0.78393,                0.52792,                0.51745,                0.93608,             0.00082188,             0.00082188,             0.00082188
                     50,                0.44619,                0.37659,                 0.9446,                0.85105,                0.87643,                0.89943,                0.80272,                0.50865,                0.50581,                0.92712,             0.00078849,             0.00078849,             0.00078849
                     51,                0.44889,                0.37348,                 0.9494,                0.85815,                0.84562,                0.89571,                0.79099,                0.53402,                0.51656,                0.93721,             0.00075558,             0.00075558,             0.00075558
                     52,                 0.4519,                0.38323,                0.94756,                0.86601,                0.85857,                0.89603,                0.79287,                 0.5199,                0.50421,                0.92898,             0.00072321,             0.00072321,             0.00072321
                     53,                0.43728,                0.36982,                0.94642,                0.83928,                0.88247,                0.90158,                0.80423,                 0.5059,                0.49961,                0.92001,             0.00069141,             0.00069141,             0.00069141
                     54,                0.44065,                0.36527,                0.94138,                0.84115,                0.89658,                0.90402,                0.79867,                0.51924,                0.50487,                0.93016,             0.00066024,             0.00066024,             0.00066024
                     55,                0.43496,                0.36239,                0.94239,                0.84388,                0.88745,                0.90984,                0.80868,                0.51521,                0.48184,                0.91945,             0.00062975,             0.00062975,             0.00062975
                     56,                0.44353,                 0.3695,                0.94231,                0.84521,                0.87849,                0.89972,                0.80959,                0.49286,                0.48802,                0.91812,             0.00059999,             0.00059999,             0.00059999
                     57,                0.44055,                0.36008,                0.94658,                0.85473,                0.87749,                0.90383,                0.80308,                0.51124,                0.49331,                0.92261,             0.00057099,             0.00057099,             0.00057099
                     58,                0.42201,                0.34471,                0.93241,                0.85898,                0.87251,                0.89924,                0.80299,                0.49906,                0.49452,                0.91366,             0.00054282,             0.00054282,             0.00054282
                     59,                0.42801,                0.36196,                0.93872,                0.85878,                0.86616,                 0.8993,                0.80161,                0.50684,                0.52286,                0.90953,              0.0005155,              0.0005155,              0.0005155
                     60,                0.42428,                0.35141,                0.93841,                0.86936,                0.86753,                 0.8982,                0.79733,                0.50454,                0.49054,                 0.9195,             0.00048908,             0.00048908,             0.00048908
                     61,                0.43968,                0.35727,                0.94317,                 0.8522,                0.88442,                0.89197,                0.79412,                0.50291,                0.50731,                0.91659,              0.0004636,              0.0004636,              0.0004636
                     62,                0.40656,                0.32916,                0.92604,                0.87179,                0.86012,                0.89563,                0.79883,                0.49503,                0.48466,                0.91556,             0.00043911,             0.00043911,             0.00043911
