                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3722,                0.29995,                0.90627,                0.85636,                0.88745,                0.90677,                 0.8047,                0.52114,                0.50631,                0.94217,              0.0011337,              0.0011337,              0.0011337
                     37,                 0.3531,                0.28325,                0.89223,                0.86209,                0.89655,                0.91548,                0.81547,                0.51938,                0.48816,                0.93621,               0.001109,               0.001109,               0.001109
                     38,                0.35198,                0.27797,                0.88939,                0.86349,                0.90093,                0.90396,                0.80498,                0.50159,                0.46605,                0.91727,              0.0010842,              0.0010842,              0.0010842
                     39,                0.35197,                0.28264,                0.88891,                0.87742,                0.87351,                0.90996,                0.80505,                  0.522,                0.46802,                0.92652,              0.0010595,              0.0010595,              0.0010595
                     40,                0.34982,                0.27969,                0.89234,                0.86132,                0.87843,                 0.9136,                0.81689,                0.50528,                0.50058,                0.92996,              0.0010347,              0.0010347,              0.0010347
                     41,                0.33721,                0.27274,                0.89047,                0.87473,                0.87631,                0.91805,                 0.8125,                0.50948,                0.46421,                0.92334,                0.00101,                0.00101,                0.00101
                     42,                0.33756,                0.26789,                0.88516,                0.85066,                0.89639,                0.90507,                0.80828,                0.51518,                0.47739,                0.92853,             0.00098525,             0.00098525,             0.00098525
                     43,                0.34416,                0.28426,                 0.8856,                0.86263,                0.85359,                0.89783,                0.79937,                  0.506,                0.49686,                0.93046,              0.0009605,              0.0009605,              0.0009605
                     44,                0.33213,                0.26531,                0.88648,                0.85367,                0.90065,                 0.9198,                0.81872,                0.50238,                0.45959,                0.92593,             0.00093575,             0.00093575,             0.00093575
                     45,                0.32899,                0.25929,                0.88405,                0.86415,                 0.8994,                0.91807,                0.81349,                0.51236,                0.46445,                0.92712,               0.000911,               0.000911,               0.000911
                     46,                0.33483,                0.27018,                0.88801,                0.88379,                 0.8745,                0.91975,                0.82135,                0.49938,                0.45615,                0.92657,             0.00088625,             0.00088625,             0.00088625
                     47,                0.32511,                0.25934,                0.88331,                0.88045,                0.87649,                0.91697,                0.80912,                0.51698,                0.45254,                0.92278,              0.0008615,              0.0008615,              0.0008615
                     48,                0.32225,                0.25339,                0.87943,                0.89075,                0.86355,                0.91332,                0.81624,                0.49904,                0.46361,                0.91451,             0.00083675,             0.00083675,             0.00083675
                     49,                0.32047,                0.25045,                0.88151,                0.89216,                0.86056,                0.91358,                0.81808,                0.49429,                0.45628,                0.91823,               0.000812,               0.000812,               0.000812
                     50,                 0.3162,                0.25183,                0.87946,                0.86351,                0.86959,                0.90343,                0.80591,                0.51255,                0.47501,                0.92564,             0.00078725,             0.00078725,             0.00078725
                     51,                0.31292,                0.24404,                0.87989,                0.88397,                0.85749,                0.91442,                0.81776,                0.48871,                  0.461,                 0.9206,              0.0007625,              0.0007625,              0.0007625
                     52,                0.30874,                0.23975,                0.88026,                0.87855,                0.86952,                0.91255,                0.81596,                0.51092,                0.48488,                 0.9243,             0.00073775,             0.00073775,             0.00073775
                     53,                0.30055,                0.24222,                0.87317,                 0.8766,                0.88446,                0.92456,                0.82753,                0.49737,                0.43574,                 0.9204,               0.000713,               0.000713,               0.000713
                     54,                 0.3053,                0.23695,                0.87297,                0.88621,                0.87849,                0.92069,                0.81841,                0.51186,                0.44253,                 0.9197,             0.00068825,             0.00068825,             0.00068825
                     55,                0.29552,                0.23068,                0.87226,                 0.8717,                 0.8797,                0.91282,                0.82488,                0.48777,                0.45871,                 0.9189,              0.0006635,              0.0006635,              0.0006635
                     56,                 0.3005,                0.23374,                0.87603,                0.87187,                0.88106,                 0.9215,                 0.8193,                0.50716,                0.45416,                 0.9359,             0.00063875,             0.00063875,             0.00063875
                     57,                0.29326,                0.23036,                0.87338,                 0.8909,                0.88845,                0.92274,                0.82379,                0.49862,                0.42968,                0.92567,               0.000614,               0.000614,               0.000614
                     58,                0.29213,                0.22855,                0.87101,                0.85543,                0.88546,                0.91098,                 0.8165,                0.49576,                0.46089,                0.92528,             0.00058925,             0.00058925,             0.00058925
                     59,                0.29298,                0.22743,                0.87472,                0.85254,                0.89841,                0.91842,                0.82266,                 0.5087,                0.44726,                0.92988,              0.0005645,              0.0005645,              0.0005645
                     60,                0.28454,                0.22409,                0.86725,                0.86269,                0.90108,                0.92217,                 0.8278,                0.50254,                0.43681,                0.91917,             0.00053975,             0.00053975,             0.00053975
                     61,                0.28223,                0.22097,                0.86775,                0.88835,                0.88048,                0.91885,                0.82514,                 0.4968,                0.44927,                0.91881,               0.000515,               0.000515,               0.000515
                     62,                0.27794,                0.21768,                 0.8702,                0.87219,                0.89741,                0.91467,                0.82088,                0.49803,                0.44138,                0.92148,             0.00049025,             0.00049025,             0.00049025
                     63,                0.27757,                0.21744,                0.86492,                0.87007,                0.89375,                0.92112,                0.82708,                0.49117,                 0.4442,                0.91259,              0.0004655,              0.0004655,              0.0004655
                     64,                0.27157,                0.21561,                0.86298,                0.86138,                0.89741,                0.92366,                0.83089,                0.49055,                0.43977,                0.91169,             0.00044075,             0.00044075,             0.00044075
                     65,                 0.2669,                0.20902,                 0.8633,                0.87545,                0.89613,                0.92162,                0.82841,                0.48416,                0.45158,                0.90921,               0.000416,               0.000416,               0.000416
                     66,                0.26487,                0.20874,                0.85783,                0.87409,                0.84861,                0.91143,                0.81802,                0.49216,                0.47496,                0.90969,             0.00039125,             0.00039125,             0.00039125
                     67,                 0.2662,                 0.2063,                0.86203,                0.87234,                0.89442,                0.91906,                0.82744,                0.48855,                0.43764,                0.91238,              0.0003665,              0.0003665,              0.0003665
                     68,                0.26264,                0.20689,                0.86055,                0.86877,                0.88357,                0.91985,                0.82788,                0.48594,                0.44654,                0.91212,             0.00034175,             0.00034175,             0.00034175
                     69,                0.25799,                0.19884,                0.86021,                0.86675,                0.87649,                0.91955,                0.82653,                0.48163,                0.44479,                0.90662,               0.000317,               0.000317,               0.000317
                     70,                0.25744,                0.20073,                0.86202,                0.87398,                 0.8911,                0.92212,                0.82999,                0.48127,                0.43639,                0.90895,             0.00029225,             0.00029225,             0.00029225
                     71,                0.40886,                0.31899,                0.92298,                0.87867,                0.88048,                0.91734,                0.82236,                0.47527,                0.42201,                0.90593,              0.0002675,              0.0002675,              0.0002675
                     72,                 0.4024,                0.28926,                0.90101,                 0.8603,                0.91391,                0.91481,                0.81836,                0.48103,                0.41759,                0.89894,             0.00024275,             0.00024275,             0.00024275
                     73,                0.38486,                0.27642,                0.89461,                0.85609,                0.92434,                0.92065,                0.82818,                0.47189,                0.40617,                0.89975,               0.000218,               0.000218,               0.000218
                     74,                0.38528,                0.26327,                0.89711,                0.85905,                0.91135,                0.91894,                0.81866,                 0.4882,                0.42459,                0.90943,             0.00019325,             0.00019325,             0.00019325
                     75,                0.38442,                0.25784,                0.89766,                0.87739,                0.89143,                0.91918,                 0.8234,                0.47756,                0.42336,                0.90415,              0.0001685,              0.0001685,              0.0001685
                     76,                0.37294,                0.24734,                0.89001,                0.87151,                 0.8985,                0.92291,                0.82884,                0.47155,                 0.4167,                 0.9017,             0.00014375,             0.00014375,             0.00014375
                     77,                0.37094,                0.24799,                0.88636,                0.85743,                0.91653,                0.92128,                0.82711,                0.47212,                0.41276,                0.89968,               0.000119,               0.000119,               0.000119
                     78,                0.36311,                0.23582,                0.88432,                0.86148,                0.91932,                0.92017,                0.82284,                0.48649,                0.42437,                0.90572,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.36011,                0.23061,                0.88515,                0.87191,                0.90174,                0.91933,                0.82461,                 0.4756,                0.42496,                0.90102,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.35563,                0.23102,                0.87741,                0.85649,                0.92231,                0.91958,                0.82535,                0.47704,                0.42018,                0.90134,              4.475e-05,              4.475e-05,              4.475e-05
